target,target_col,horizon,model,params_json,fold,rmse,mae,oos_r2_vs_persistence,row_count,train_end,test_start,test_end
Wage,wage_target_3,3,Huber,"{""alpha"": 1e-05, ""epsilon"": 1.75}",1,0.7906912268812297,0.6267853998397301,-0.9850912726501837,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,Huber,"{""alpha"": 1e-05, ""epsilon"": 1.75}",2,0.9234313750210225,0.7872053570354255,-1.0229163831401373,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,Huber,"{""alpha"": 1e-05, ""epsilon"": 1.75}",3,0.931205550114042,0.8298963456785978,-1.1828521273708468,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,Huber,"{""alpha"": 1e-05, ""epsilon"": 1.75}",4,0.8305703616555652,0.6921674964016765,0.40817437244805144,27,2017-02-01,2017-03-01,2019-05-01
Wage,wage_target_3,3,Huber,"{""alpha"": 0.0001, ""epsilon"": 1.1}",1,0.6980650785140248,0.5366421295253324,-0.5472427799014095,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,Huber,"{""alpha"": 0.0001, ""epsilon"": 1.1}",2,0.7501358479142387,0.6220791604053736,-0.33489934388937903,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,Huber,"{""alpha"": 0.0001, ""epsilon"": 1.1}",3,0.9202020455441349,0.8290306028937814,-1.1315699715289282,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,Huber,"{""alpha"": 0.0001, ""epsilon"": 1.1}",4,0.7314411342417056,0.595648535834051,0.5410137571838867,27,2017-02-01,2017-03-01,2019-05-01
Wage,wage_target_3,3,Huber,"{""alpha"": 0.0001, ""epsilon"": 1.35}",1,0.747128923817303,0.5681963768985431,-0.7723836668691668,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,Huber,"{""alpha"": 0.0001, ""epsilon"": 1.35}",2,0.9129777818166449,0.7767369258553116,-0.9773752613195592,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,Huber,"{""alpha"": 0.0001, ""epsilon"": 1.35}",3,0.9001959937813429,0.8008639604248984,-1.039892853557486,27,2014-11-01,2014-12-01,2017-02-01
